ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,engine_capacity,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,price_in_billion
4830360,Domestic assembly,Used car,Sedan,0,Silver,Grey,4,5,Petrol,1.6,Manual,FWD,8.8,Chevrolet,Cruze,2010,0.235
4830366,Imported,Used car,Sedan,28000,Green,Cream,4,5,Petrol,2,Automatic,RFD,5,BMW,3_Series,2019,1.539
4830370,Imported,Used car,Hatchback,75000,Silver,Black,5,5,Petrol,1.5,Automatic,FWD,6.7,Toyota,Yaris,2015,0.418
4830375,Domestic assembly,Used car,SUV,385,Grey,Cream,4,5,Petrol,2,Automatic,RFD,9.4,Mercedes-Benz,GLC200,2022,1.669
4830384,Imported,Used car,Sedan,50000,White,Black,4,5,Petrol,2,Automatic,RFD,5,BMW,3_Series,2016,0.789
4830404,Domestic assembly,Used car,Sedan,17000,White,Grey,4,5,Petrol,1.4,Automatic,FWD,0,Kia,Soluto,2021,0.408
4830407,Imported,Used car,Truck,56789,Green,Default Value,2,3,Diesel,0,Manual,4WD or AWD,0,Kia,Frontier,2001,0.058
4830415,Domestic assembly,Used car,Van/Minivan,45000,White,Cream,5,7,Diesel,2.2,Automatic,FWD,11.8,Kia,Sedona,2020,0.98
4830418,Imported,New car,SUV,0,White,Black,5,5,Petrol,2,Automatic,AWD,9.6,Subaru,Forester,2022,1.112
4830419,Domestic assembly,Used car,Sedan,21000,Green,Grey,4,5,Petrol,1.5,Automatic,RFD,10.2,Mercedes-Benz,C180,2019,0.92
4830428,Domestic assembly,New car,Sedan,0,White,Black,4,5,Petrol,2,Automatic,RFD,10,BMW,5_Series,2022,2.169
4830435,Domestic assembly,New car,Sedan,0,Green,Brown,4,5,Petrol,2,Automatic,RFD,10,BMW,5_Series,2022,2.359
4830440,Imported,Used car,Pickup,60000,Brown,Cream,4,5,Diesel,2.5,Automatic,RFD,10.2,Nissan,Navara,2019,0.53
4830441,Domestic assembly,Used car,Truck,0,Green,Green,2,3,Diesel,0,Manual,RFD,11,Thaco,Ollin,2017,0.245
4830445,Imported,New car,Sedan,0,Grey,Black,4,5,Petrol,2,Automatic,RFD,10,BMW,5_Series,2022,2.925
4830458,Imported,Used car,Hatchback,80000,White,Grey,5,5,Petrol,1.4,Automatic,FWD,7.4,Hyundai,Accent,2014,0.336
4830472,Imported,Used car,Sedan,33000,Green,Cream,4,5,Petrol,2,Automatic,RFD,13,BMW,7_Series,2018,2.98
4830476,Imported,New car,Coupe,0,Green,Black,4,4,Petrol,2,Automatic,RFD,9,BMW,4_Series,2022,2.629
4830477,Imported,New car,SUV,0,Green,Black,5,5,Petrol,2,Automatic,AWD,9.2,Subaru,Forester,2023,1.199
4830486,Domestic assembly,Used car,Sedan,29000,Yellow,Cream,4,5,Petrol,1.5,Automatic,FWD,8.1,Toyota,Vios,2019,0.475
4830492,Domestic assembly,Used car,SUV,123456,Yellow,Sand,5,7,Petrol,2.4,Manual,FWD,14,Chevrolet,Captiva,2009,0.223
4830514,Domestic assembly,Used car,Sedan,0,Black,Black,4,5,Petrol,2.6,Automatic,RFD,11.5,Mercedes-Benz,E240,2004,0.175
4830531,Domestic assembly,Used car,Sedan,20000,White,Black,4,5,Petrol,1.4,Automatic,FWD,0,Kia,Soluto,2021,0.405
4830536,Domestic assembly,Used car,Sedan,60000,Black,Cream,4,5,Petrol,1.5,Automatic,FWD,8.1,Toyota,Vios,2019,0.485
4830541,Domestic assembly,Used car,Crossover,34000,Black,Cream,5,5,Petrol,1.6,Automatic,FWD,10.2,Hyundai,Tucson,2020,0.8
4830547,Imported,Used car,Pickup,75000,Orange,Black,4,5,Diesel,3.2,Automatic,4WD,10.8,Ford,Ranger,2017,0.739
4830555,Imported,Used car,SUV,14000,Black,Brown,5,5,Petrol,1.8,Automatic,FWD,8.9,Toyota,Corolla_Cross,2020,0.75
4830559,Imported,Used car,Hatchback,16000,Orange,Cream,5,5,Petrol,1.5,Automatic,FWD,6.9,Toyota,Yaris,2021,0.635
4830560,Imported,Used car,Pickup,140000,Black,Colorful,4,5,Diesel,3,Manual,4WD,10.9,Toyota,Hilux,2014,0.46
4830561,Domestic assembly,Used car,SUV,120000,Silver,Grey,5,8,Diesel,2.5,Automatic,RFD,10.5,Ford,Everest,2012,0.435
4830585,Domestic assembly,Used car,Sedan,30000,White,Cream,4,5,Petrol,3,Automatic,RFD,9,Mercedes-Benz,S400L,2016,1.99
4830590,Imported,Used car,Hatchback,45000,Pink,Pink,5,5,Petrol,1.2,Automatic,FWD,7.7,Honda,Brio,2020,0.395
4830651,Domestic assembly,Used car,SUV,400,White,Black,5,5,Electric,3.5,Automatic,AWD,1.8,VinFast,VF8,2022,0.78
4830657,Imported,Used car,Pickup,90000,White,Colorful,4,5,Diesel,3.2,Automatic,4WD,10.8,Ford,Ranger,2017,0.68
4830658,Domestic assembly,Used car,Sedan,56658,Silver,Black,4,5,Petrol,1.5,Automatic,FWD,6.5,Mazda,2,2016,0.368
4830692,Domestic assembly,Used car,SUV,148000,White,Black,5,7,Petrol,2,Automatic,FWD,9.3,Nissan,X-Trail,2016,0.57
4830717,Domestic assembly,Used car,Crossover,0,Silver,Brown,5,8,Petrol,2,Manual,RFD,8.5,Toyota,Innova,2017,0.495
4830726,Domestic assembly,Used car,SUV,41000,Brown,Cream,5,5,Petrol,2,Automatic,AWD,9.4,Mercedes-Benz,GLC300,2019,2.08
4830729,Imported,Used car,SUV,110000,Black,Cream,5,7,Petrol,5.7,Automatic,AWD,16.9,Lexus,LX570,2013,3.3
4830734,Imported,Used car,SUV,99000,Cream,Cream,5,5,Petrol,1.6,Automatic,FWD,8.3,Kia,Soul,2009,0.336
4830736,Domestic assembly,New car,SUV,0,Black,Black,5,5,Petrol,1.5,Automatic,FWD,9.3,Ford,Territory,2023,0.829
4830740,Imported,Used car,SUV,10000,White,Cream,5,5,Petrol,2,Automatic,AWD,11,Porsche,Macan,2021,3.559
4830764,Domestic assembly,Used car,Sedan,23000,Black,Brown,4,5,Petrol,2,Automatic,RFD,7.9,VinFast,Lux_A_2.0,2020,0.689
4830768,Imported,Used car,Sedan,74268,Black,Default Value,4,5,Petrol,1.6,Manual,FWD,8.3,Toyota,Corolla,1997,0.07
4830771,Imported,Used car,Convertible/Cabriolet,65000,White,Cream,2,4,Petrol,2.5,Automatic,RFD,7,Lexus,IS,2010,1.1
4830772,Domestic assembly,Used car,Sedan,70000,White,Brown,4,5,Petrol,1.5,Automatic,FWD,7.6,Mazda,3,2015,0.435
4830781,Domestic assembly,Used car,Crossover,0,Black,Black,5,5,Petrol,1.6,Automatic,FWD,7.4,Peugeot,3008,2020,0.75
4830782,Domestic assembly,Used car,Sedan,90000,Silver,Cream,4,5,Petrol,1.5,Manual,FWD,8.7,Toyota,Vios,2014,0.308
4830784,Imported,Used car,Sedan,20000,Black,Brown,4,5,Petrol,3,Automatic,AWD,10.2,Audi,A7,2020,3.19
4830796,Domestic assembly,Used car,Sedan,80000,Silver,Cream,4,5,Petrol,2,Automatic,FWD,7.3,Toyota,Corolla_altis,2013,0.469
4830801,Imported,Used car,SUV,9000,White,Black,5,7,Petrol,1.5,Automatic,RFD,9,Toyota,Rush,2021,0.505
4830806,Domestic assembly,Used car,SUV,12000,Red,Black,5,7,Petrol,2.5,Automatic,FWD,9.9,Mazda,CX-8,2022,0.965
4830819,Domestic assembly,Used car,SUV,80000,White,Black,5,7,Diesel,2.2,Automatic,FWD,11.5,Kia,Sorento,2018,0.765
4830822,Domestic assembly,Used car,Crossover,0,White,Black,5,5,Petrol,1.6,Automatic,FWD,8.1,Peugeot,3008,2021,0.85
4830824,Imported,Used car,Sedan,26660,White,Black,4,5,Petrol,1.2,Automatic,FWD,6.2,Mitsubishi,Attrage,2020,0.395
4830832,Domestic assembly,Used car,Truck,0,Green,Grey,2,3,Diesel,0,Manual,RFD,0,Kia,Frontier,2017,0.335
4830838,Imported,Used car,Hatchback,0,Grey,Black,5,5,Petrol,1,Automatic,FWD,7.1,Kia,Morning,2011,0.252
4830846,Imported,Used car,Sedan,120000,Black,Black,4,5,Petrol,2,Automatic,RFD,5,BMW,3_Series,2011,0.333
4830847,Domestic assembly,Used car,SUV,130000,Sand,Sand,5,7,Petrol,2.4,Automatic,FWD,15.6,Chevrolet,Captiva,2007,0.223
4830869,Domestic assembly,Used car,Sedan,32000,White,Cream,4,5,Petrol,1.4,Automatic,FWD,7.2,Hyundai,Accent,2018,0.46
4830873,Domestic assembly,Used car,SUV,0,Silver,Grey,5,8,Diesel,2.5,Manual,RFD,11.2,Toyota,Fortuner,2014,0.58
4830881,Domestic assembly,Used car,Sedan,50,Black,Brown,4,5,Petrol,1.5,Automatic,RFD,7.9,Mercedes-Benz,C200,2021,1.359
4830885,Imported,Used car,SUV,28000,White,Grey,5,7,Petrol,1.5,Automatic,FWD,9.1,Suzuki,Ertiga,2021,0.515
4830889,Imported,Used car,SUV,20000,Red,Brown,5,5,Hybrid,1.8,Automatic,FWD,8.9,Toyota,Corolla_Cross,2020,0.885
4830898,Domestic assembly,Used car,Sedan,961,Green,Black,4,5,Petrol,1.5,Automatic,RFD,4.4,Mercedes-Benz,C200,2022,1.689
4830899,Domestic assembly,Used car,Crossover,0,Silver,Grey,5,8,Petrol,2,Manual,RFD,11.4,Toyota,Innova,2010,0.28
4830903,Imported,Used car,SUV,100000000,Grey,Different color,5,7,Petrol,3,Automatic,AWD,12,Audi,Q7,2011,0.9
